Code,Country,GHG_Emissions
THA,Thailand,440.78301465571
TJK,Tajikistan,21.438119694098
TKM,Turkmenistan,98.79411982866
TLS,Timor-Leste,2.0071829501919
TON,Tonga,0.34210672521812
TTO,Trinidad and Tobago,34.187024015247
TUN,Tunisia,43.578530969544
TUR,Türkiye,606.42985584791
TWN,Taiwan,308.00043191949
TZA,Tanzania,89.815439405641
UGA,Uganda,53.370989410157
UKR,Ukraine,216.09280539526
URY,Uruguay,41.634111747759
USA,United States,5960.8043799939
UZB,Uzbekistan,214.53138443861
VCT,Saint Vincent and the Grenadines,0.15077509193013
VEN,Venezuela,152.38992311311
VGB,British Virgin Islands,0.09106902611319
VNM,Viet Nam,524.13346380418
VUT,Vanuatu,0.67021230161327
WSM,Samoa,0.64614359538246
YEM,Yemen,32.242871779425
ZAF,South Africa,522.11549112331
ZMB,Zambia,30.484449374284
ZWE,Zimbabwe,31.019306383582
