Entity,Code,population_density
Turkey,TUR,113.93187
Turkmenistan,TKM,16.212608
Turks and Caicos Islands,TCA,49.302105
Tuvalu,TUV,315.76666
Uganda,UGA,256.258
Ukraine,UKR,67.277054
United Arab Emirates,ARE,159.75734
United Kingdom,GBR,287.48517
United States,USA,37.96434
United States Virgin Islands,VIR,240.31429
Uruguay,URY,19.33859
Uzbekistan,UZB,84.08743
Vanuatu,VUT,27.493437
Vatican,VAT,1138.6364
Venezuela,VEN,32.3302
Vietnam,VNM,324.1515
Wallis and Futuna,WLF,79.87143
Western Sahara,ESH,2.2588573
Yemen,YEM,79.121605
Zambia,ZMB,29.478245
Zimbabwe,ZWE,43.81737
