Country,Status,AQI Value,Code,GHG_Emissions,Forest cover,population_density,Continent
Qatar,Moderate,80,QAT,154.38356524031,0.0,271.1783,Asia
Reunion,Good,19,REU,,,,Africa
Romania,Good,44,ROU,105.85240058122,30.115829276773297,82.182755,Europe
Russia,Moderate,57,RUS,2672.0394366031,49.784336078872215,,Europe
San Marino,Good,43,SMR,,16.666666666666664,559.23334,Europe
Serbia,Moderate,58,SRB,,31.13023096272582,79.54561,Europe
Singapore,Good,39,SGP,74.290132466078,21.960507757404795,8176.461,Asia
Slovakia,Good,43,SVK,44.775610890682,40.056156405990016,113.86912,Europe
Slovenia,Good,39,SVN,15.993517423122,61.4670698824616,105.13389,Europe
South Africa,Unhealthy for Sensitive Groups,101,ZAF,522.11549112331,14.055090718743044,53.37384,Africa
South Korea,Moderate,79,KOR,653.8461399874,64.47543841657266,,Asia
Spain,Moderate,57,ESP,,37.17799724090219,95.830956,Europe
Sri Lanka,Good,49,LKA,38.403849844142,34.139886578449904,375.51593,Asia
Sweden,Good,29,SWE,49.118373633418,68.69460607399769,26.165014,Europe
Switzerland,Good,36,CHE,,32.11633354868898,226.96663,Europe
Taiwan,Good,47,TWN,308.00043191949,,,Asia
Tajikistan,Good,39,TJK,21.438119694098,3.053534116290799,77.7195,Asia
Thailand,Moderate,82,THA,440.78301465571,38.89878447415295,140.18637,Asia
Trinidad and Tobago,Good,38,TTO,34.187024015247,44.48148148148148,294.5645,North America
Turkey,Good,12,TUR,,28.87148369995972,113.93187,Asia
Ukraine,Good,34,UKR,216.09280539526,16.727084412221647,67.277054,Europe
United Arab Emirates,Unhealthy for Sensitive Groups,139,ARE,267.82319378586,4.467755561813574,159.75734,Asia
United Kingdom of Great Britain and Northern Ireland,Moderate,57,GBR,,,287.48517,Europe
United States of America,Moderate,82,USA,,,37.96434,North America
Uzbekistan,Good,6,UZB,214.53138443861,8.374418673269979,84.08743,Asia
Vatican,Good,34,VAT,,0.0,,Europe
Vietnam,Good,42,VNM,,47.22511045892863,,Asia
